game_user_id,txn_time,amount_usd,product_sku,payment_channel,is_refund
player_0002,2024-11-02T08:27:18.000Z,11.18,costume_box,app_store,false
player_0002,2024-11-07T09:49:22.000Z,8.04,gem_bundle,google_play,false
player_0002,2024-11-03T01:22:30.000Z,10.02,battle_pass,app_store,false
player_0002,2024-11-05T07:44:53.000Z,10.41,costume_box,app_store,false
player_0002,2024-11-05T16:44:53.000Z,18.1,monthly_card,app_store,false
player_0002,2024-11-05T03:43:34.000Z,17.63,monthly_card,app_store,false
player_0003,2024-12-20T21:23:16.000Z,2.77,monthly_card,app_store,false
player_0003,2024-12-20T16:13:17.000Z,7.61,starter_pack,carrier_billing,false
player_0007,2025-02-06T02:17:29.000Z,3.97,gem_bundle,google_play,false
player_0007,2025-02-02T18:50:52.000Z,6.01,costume_box,carrier_billing,false
player_0007,2025-02-02T15:31:25.000Z,6.64,starter_pack,carrier_billing,false
player_0007,2025-01-30T15:35:39.000Z,3.61,costume_box,app_store,false
player_0007,2025-02-04T00:14:33.000Z,5.57,gem_bundle,google_play,false
player_0007,2025-02-03T13:09:18.000Z,2.79,gem_bundle,carrier_billing,false
player_0007,2025-02-01T05:24:36.000Z,3.61,monthly_card,app_store,false
player_0015,2024-12-24T00:16:47.000Z,8.97,costume_box,carrier_billing,false
player_0015,2024-12-28T16:49:39.000Z,12.6,starter_pack,carrier_billing,false
player_0015,2024-12-27T01:13:01.000Z,12.84,starter_pack,paypal,true
player_0015,2024-12-29T04:01:26.000Z,9.03,costume_box,app_store,false
player_0015,2024-12-28T10:32:55.000Z,11.73,gem_bundle,google_play,false
player_0015,2024-12-26T12:47:41.000Z,11.54,monthly_card,carrier_billing,false
player_0015,2024-12-25T23:18:01.000Z,9.57,battle_pass,google_play,false
player_0019,2024-10-30T23:56:05.000Z,13.26,starter_pack,google_play,false
player_0019,2024-10-30T03:08:31.000Z,14.32,monthly_card,google_play,false
player_0019,2024-11-04T00:54:52.000Z,5,gacha_pack,google_play,false
player_0019,2024-10-29T14:12:16.000Z,13.71,monthly_card,app_store,false
player_0019,2024-11-02T10:40:55.000Z,6.79,costume_box,google_play,false
player_0019,2024-11-02T19:02:21.000Z,10.65,gem_bundle,paypal,false
player_0019,2024-11-03T22:43:27.000Z,6.65,monthly_card,paypal,false
player_0031,2024-12-12T19:53:57.000Z,23.58,battle_pass,app_store,false
player_0031,2024-12-09T20:41:45.000Z,22.7,costume_box,google_play,false
player_0031,2024-12-10T08:46:43.000Z,14.96,starter_pack,app_store,false
player_0031,2024-12-11T08:30:29.000Z,24.44,battle_pass,app_store,false
player_0031,2024-12-11T16:51:15.000Z,19.09,gem_bundle,paypal,false
player_0034,2024-11-18T20:31:53.000Z,10.8,gacha_pack,app_store,false
player_0034,2024-11-18T17:45:32.000Z,5.94,gem_bundle,app_store,false
player_0034,2024-11-16T00:46:34.000Z,7.44,gem_bundle,app_store,false
player_0034,2024-11-15T05:21:24.000Z,4.57,gem_bundle,google_play,false
player_0041,2024-10-24T17:44:26.000Z,27.54,monthly_card,paypal,false
player_0041,2024-10-24T06:43:14.000Z,26.08,costume_box,app_store,false
player_0041,2024-10-20T11:22:15.000Z,15.63,battle_pass,app_store,false
player_0045,2025-01-10T12:08:20.000Z,1.91,starter_pack,google_play,false
player_0045,2025-01-10T04:48:50.000Z,2.94,gem_bundle,paypal,false
player_0054,2024-10-12T22:38:40.000Z,7.89,costume_box,app_store,false
player_0054,2024-10-08T11:38:01.000Z,8.06,monthly_card,carrier_billing,false
player_0055,2025-01-27T08:28:43.000Z,5.83,battle_pass,app_store,false
player_0055,2025-01-26T04:30:41.000Z,14.65,gem_bundle,app_store,false
player_0055,2025-01-31T10:54:15.000Z,11.55,starter_pack,google_play,false
player_0055,2025-02-01T18:20:16.000Z,9.39,monthly_card,app_store,false
player_0055,2025-01-26T08:29:55.000Z,6.95,costume_box,google_play,false
player_0061,2024-12-20T07:41:08.000Z,10.07,gem_bundle,paypal,false
player_0061,2024-12-15T14:23:13.000Z,10.16,battle_pass,google_play,false
player_0061,2024-12-18T05:42:07.000Z,9.31,battle_pass,app_store,false
player_0061,2024-12-17T03:39:00.000Z,9.7,gem_bundle,google_play,false
player_0064,2024-11-29T07:21:23.000Z,25.97,monthly_card,paypal,false
player_0064,2024-11-28T14:32:00.000Z,25.15,monthly_card,google_play,false
player_0065,2025-01-15T22:14:46.000Z,3.43,battle_pass,paypal,false
player_0065,2025-01-13T16:20:57.000Z,1.77,monthly_card,app_store,false
player_0069,2025-01-30T18:28:19.000Z,4.1,costume_box,paypal,false
player_0073,2024-11-22T10:59:01.000Z,3.76,starter_pack,google_play,false
player_0073,2024-11-18T23:51:11.000Z,1.86,monthly_card,google_play,false
player_0073,2024-11-22T10:28:14.000Z,2.93,battle_pass,carrier_billing,false
player_0073,2024-11-18T23:45:26.000Z,1.69,battle_pass,app_store,false
player_0073,2024-11-19T07:21:31.000Z,2.2,starter_pack,paypal,false
player_0073,2024-11-19T07:19:53.000Z,2.26,starter_pack,carrier_billing,false
player_0073,2024-11-17T18:38:35.000Z,3.55,gem_bundle,google_play,false
player_0076,2024-12-25T15:22:48.000Z,20.31,battle_pass,paypal,false
player_0076,2024-12-27T00:00:48.000Z,15.54,starter_pack,paypal,false
player_0082,2024-10-27T15:02:38.000Z,6.16,gacha_pack,google_play,false
player_0082,2024-10-29T19:31:10.000Z,6.76,costume_box,app_store,false
player_0089,2024-10-18T19:43:11.000Z,18.69,monthly_card,paypal,false
player_0089,2024-10-18T18:06:18.000Z,8.93,costume_box,app_store,false
player_0089,2024-10-17T15:11:21.000Z,8.43,costume_box,app_store,false
player_0089,2024-10-17T02:04:06.000Z,17.59,starter_pack,google_play,false
player_0089,2024-10-14T13:54:14.000Z,7.57,starter_pack,paypal,false
player_0089,2024-10-18T18:20:51.000Z,20.4,costume_box,app_store,false
player_0092,2024-11-10T09:47:24.000Z,9.43,monthly_card,app_store,false
player_0096,2024-10-30T04:09:38.000Z,1.26,battle_pass,paypal,false
player_0096,2024-10-28T20:28:38.000Z,0.99,gem_bundle,paypal,false
player_0101,2025-01-07T03:44:31.000Z,6.28,gacha_pack,carrier_billing,false
player_0101,2025-01-10T21:58:35.000Z,9.03,gacha_pack,carrier_billing,false
player_0103,2025-01-27T17:50:08.000Z,10.26,starter_pack,carrier_billing,false
player_0103,2025-01-25T18:45:44.000Z,9.81,starter_pack,paypal,false
player_0103,2025-01-26T11:51:55.000Z,10.3,starter_pack,google_play,false
player_0106,2025-02-04T02:58:43.000Z,41.17,costume_box,google_play,false
player_0106,2025-01-30T01:54:12.000Z,38.81,costume_box,google_play,true
player_0109,2024-12-30T07:56:40.000Z,45.4,battle_pass,app_store,false
player_0109,2025-01-05T05:01:03.000Z,70.24,battle_pass,carrier_billing,false
player_0109,2025-01-05T00:38:39.000Z,100.91,monthly_card,app_store,false
player_0109,2025-01-02T04:00:16.000Z,105.55,gem_bundle,carrier_billing,false
player_0109,2024-12-30T17:44:03.000Z,93.94,monthly_card,app_store,false
player_0109,2025-01-05T05:30:32.000Z,80.27,costume_box,google_play,false
player_0111,2024-12-28T18:54:21.000Z,0.99,gacha_pack,google_play,false
player_0111,2024-12-26T06:04:54.000Z,0.99,gacha_pack,carrier_billing,false
player_0112,2024-11-10T16:23:02.000Z,10.9,gacha_pack,carrier_billing,false
player_0112,2024-11-12T05:47:14.000Z,4.74,gem_bundle,carrier_billing,false
player_0114,2024-11-19T03:27:32.000Z,7.59,monthly_card,paypal,false
player_0114,2024-11-19T07:28:24.000Z,8.27,monthly_card,carrier_billing,false
player_0114,2024-11-20T16:23:39.000Z,3.44,gem_bundle,app_store,false
player_0114,2024-11-17T12:11:41.000Z,4.95,gacha_pack,app_store,false
player_0122,2025-01-14T18:14:40.000Z,14.92,gacha_pack,paypal,false
player_0122,2025-01-18T10:42:17.000Z,14.06,gem_bundle,google_play,false
player_0122,2025-01-17T15:01:28.000Z,15.47,monthly_card,paypal,false
player_0122,2025-01-14T12:34:13.000Z,8.86,costume_box,app_store,false
player_0122,2025-01-18T06:57:07.000Z,14.86,monthly_card,google_play,false
player_0122,2025-01-13T23:16:06.000Z,16.3,battle_pass,carrier_billing,false
